area_id,weight,weight_std,volume,volume_std,fat,fat_std,saturate,saturate_std,sugar,sugar_std,protein,protein_std,carb,carb_std,fibre,fibre_std,alcohol,alcohol_std,energy_fat,energy_fat_std,energy_saturate,energy_saturate_std,energy_sugar,energy_sugar_std,energy_protein,energy_protein_std,energy_carb,energy_carb_std,energy_fibre,energy_fibre_std,energy_alcohol,energy_alcohol_std,energy_alcohol_ci95,energy_tot,energy_tot_std,f_energy_fat,f_energy_saturate,f_energy_sugar,f_energy_protein,f_energy_carb,f_energy_fibre,f_energy_alcohol,energy_density,h_nutrients_weight,h_nutrients_weight_norm,h_nutrients_calories,h_nutrients_calories_norm,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,'Diabetes category'
E05000572,278.32906099999997,292.201831,103.070663,90.045792,8.666224,12.356024,3.2772639999999997,5.7182580000000005,11.323841999999999,17.246861,5.216433,6.16827,20.015860999999997,23.176647,1.7122560000000002,2.453642,0.190173,1.4623629999999999,77.99602,111.204218,29.495379999999997,51.464321999999996,45.295369,68.987443,20.865734,24.673081,80.06344200000001,92.70658900000001,3.167636,4.879907,1.33121,10.236539,0.081723,183.424042,172.484896,0.42522200000000004,0.160804,0.246943,0.113757,0.43649399999999994,0.017269,0.007258,0.6590189999999999,1.619198,0.69735,1.55607,0.6701630000000001,0.014096000000000001,0.08905700000000001,0.006298,0.014129,0.012796,0.22195,0.188977,0.033973,0.016944999999999998,0.097487,0.011763,0.053784000000000005,0.001849,0.188377,0.005782,0.028292,0.014446,0.070256,0.01658,0.020659,0.015712,0.327416,0.212844,0.050758,0.047816000000000004,0.084735,0.017355000000000002,0.13587,mid
E05000139,337.89124300000003,347.091344,110.084107,89.18395500000001,8.786994,13.967104999999998,3.4959839999999995,6.537591,9.810012,16.279856,5.143286,6.423265,16.822266,22.31491,1.609601,2.5283860000000002,0.325494,1.7718459999999998,79.08294599999999,125.703943,31.463853000000004,58.83832099999999,39.240049,65.119422,20.573145999999998,25.69306,67.289064,89.259638,3.0366779999999998,5.020983,2.27846,12.402921000000001,0.058787,172.260293,170.67514,0.45908999999999994,0.182653,0.22779499999999997,0.119431,0.39062399999999997,0.017628,0.013227000000000001,0.50981,1.7026259999999998,0.7332810000000001,1.596759,0.6876869999999999,0.025968,0.121744,0.010283,0.025388,0.016968,0.274161,0.14360499999999998,0.044759,0.015943000000000002,0.06698899999999999,0.014871,0.029671,0.003176,0.148081,0.005647999999999999,0.026976,0.025769,0.07599500000000001,0.022171,0.027933999999999997,0.017137,0.373743,0.200534,0.054238,0.037592,0.075535,0.018807,0.096314,mid
E05000601,400.438618,509.53886900000003,116.552241,95.73539699999999,9.156092,15.094126000000001,3.6738910000000002,7.075463,9.875904,15.990835,5.211323,6.408569,17.666705,22.946444,1.558106,2.36433,0.253282,1.6803740000000003,82.404826,135.847133,33.065023,63.679166,39.503615,63.96334,20.845292999999998,25.634275,70.666821,91.785775,2.936802,4.615402,1.7729759999999999,11.762621000000001,0.021149,178.62671799999998,176.76073200000002,0.46132399999999996,0.185107,0.221152,0.116698,0.39561199999999996,0.016441,0.009926,0.446078,1.6727490000000003,0.720414,1.569325,0.675872,0.013855000000000001,0.11511199999999999,0.013578999999999999,0.034908999999999996,0.023258,0.276343,0.140178,0.049324,0.019066,0.05038,0.014019,0.030289,0.003922999999999999,0.158754,0.005125,0.033595,0.018293,0.06451,0.030133,0.032972,0.022276,0.356969,0.22196100000000002,0.054980999999999995,0.049331,0.05018,0.014508000000000002,0.10217999999999999,mid
E05000043,384.133775,415.05532900000003,114.78948999999999,97.563264,8.965347999999999,14.196128,3.5658839999999996,6.6628050000000005,10.074469,16.50633,5.436584,6.607328,17.968808,23.000698999999997,1.64392,2.433634,0.231605,1.6466560000000001,80.68813399999999,127.765149,32.092953,59.965249,40.297875,66.025319,21.746335000000002,26.429311,71.875232,92.00279599999999,3.082929,4.7847800000000005,1.6212360000000001,11.526594000000001,0.018316,179.01386599999998,172.411263,0.450737,0.179276,0.22511,0.121478,0.401507,0.017222,0.009056,0.46602,1.674923,0.72135,1.5785930000000001,0.679863,0.013447999999999998,0.10333800000000001,0.010986,0.030185000000000003,0.021984,0.291763,0.14161500000000002,0.057923,0.022382,0.06009400000000001,0.016441,0.021977,0.002639,0.158115,0.005345,0.025063,0.016703,0.058611,0.022892,0.028914999999999996,0.020681,0.376419,0.192267,0.06592200000000001,0.054715999999999994,0.060652,0.016718,0.10220900000000001,mid
E05009394,359.69984300000004,352.083637,107.52638799999998,86.819682,8.761166000000001,14.050761999999999,3.529031,6.631439,9.7205,15.840446,5.2862089999999995,6.4630279999999996,17.196811999999998,22.371622,1.592325,2.412325,0.254359,1.5861889999999998,78.850491,126.45686,31.761279,59.682953000000005,38.881999,63.361785,21.144838,25.852114,68.787247,89.486488,3.01452,4.768255,1.7805099999999998,11.103324,0.037511,173.577606,170.206725,0.454266,0.18298,0.224004,0.12181800000000001,0.396291,0.017366999999999997,0.010258,0.482562,1.6856759999999997,0.725981,1.58564,0.682898,0.01685,0.114727,0.011656999999999999,0.026810000000000004,0.022144,0.29608,0.139688,0.046054000000000005,0.020298,0.05627000000000001,0.013088999999999998,0.024967,0.002346,0.15334,0.005672,0.028695,0.021313,0.069517,0.025816000000000002,0.025791,0.021182,0.37847800000000004,0.195632,0.055696,0.05051,0.061274,0.014613,0.101489,mid
E05000620,372.607669,365.210149,104.769029,90.089299,8.368008,13.956153,3.3498900000000003,6.493686,8.785125,14.867431,5.345921,6.581414,16.780535,22.193694,1.56544,2.34212,0.263434,1.668681,75.31206999999999,125.60538100000001,30.149007,58.443175,35.140499,59.469724,21.383685,26.325653999999997,67.12214200000001,88.774774,2.995333,4.67002,1.844036,11.680765,0.017639,168.657265,167.360322,0.446539,0.178759,0.20835399999999998,0.126788,0.39798,0.017759999999999998,0.010934000000000001,0.45264,1.693183,0.729214,1.600673,0.689372,0.019183000000000002,0.110095,0.015813,0.029113,0.024927,0.309994,0.142354,0.048404,0.020942,0.048482,0.013217,0.024324000000000002,0.0036030000000000003,0.13686900000000002,0.005632,0.028801,0.018246000000000002,0.071631,0.039167,0.026558,0.023698,0.371215,0.191951,0.056914,0.052953999999999994,0.059289999999999995,0.014547,0.092074,low
E05000465,312.111876,310.563921,109.80990600000001,90.81002,9.409611,13.588037,3.681145,6.343374,11.422877,17.739148,5.314279,6.2931040000000005,19.604315,23.4978,1.64914,2.466325,0.23845500000000003,1.686506,84.686502,122.29232900000001,33.130305,57.090368999999995,45.691509,70.956592,21.257116,25.172417000000003,78.417259,93.991199,3.054434,4.868749,1.669184,11.805545,0.082066,189.084495,174.528621,0.447876,0.175214,0.241646,0.11242100000000001,0.414721,0.016153999999999998,0.008828,0.605823,1.641445,0.706932,1.55647,0.670335,0.014721000000000001,0.09773,0.009035,0.021621,0.014063999999999998,0.232208,0.175584,0.043065,0.018386000000000003,0.085233,0.014292,0.039577,0.00417,0.182066,0.006546,0.026309,0.015391,0.065526,0.022759,0.025559000000000002,0.015894,0.320973,0.215294,0.059604,0.052138,0.073903,0.018843000000000002,0.12950799999999998,mid
E05000404,283.267173,341.961333,94.52499300000001,85.485275,9.526185,13.45785,3.6415300000000004,6.362819,11.482434,17.630434,5.422953,6.2838199999999995,19.960092000000003,23.086751,1.6562270000000001,2.345282,0.242231,1.6742419999999998,85.735669,121.12065,32.773773999999996,57.26537,45.929737,70.52173499999999,21.691813,25.135282,79.840367,92.34700500000001,3.058618,4.650258999999999,1.695615,11.719693,0.145493,192.022082,173.551146,0.446489,0.170677,0.23919,0.11296500000000001,0.41578699999999996,0.015928,0.00883,0.677883,1.639532,0.706108,1.556598,0.6703899999999999,0.013423,0.094324,0.007014,0.017373,0.009755,0.20513499999999998,0.187641,0.042164,0.021888,0.111174,0.010964,0.041116,0.004233,0.178249,0.0054009999999999996,0.033375999999999996,0.016769,0.072038,0.021355000000000002,0.026488,0.013869999999999999,0.294651,0.212736,0.06249299999999999,0.051911,0.095153,0.014203,0.1351,mid
E05000381,387.323783,388.504836,105.965406,90.935552,8.959487,14.629667999999999,3.469262,6.611923,9.147329,15.623060999999998,5.539951,6.748622999999999,16.982696,22.580157,1.620607,2.43359,0.24488600000000002,1.643523,80.635379,131.667016,31.223358,59.507311,36.589317,62.492245999999994,22.159803,26.994493,67.93078299999999,90.320627,3.08692,4.812918,1.714204,11.504664,0.021339,175.52709,172.240667,0.45938999999999997,0.17788299999999999,0.208454,0.126247,0.38700999999999997,0.017587000000000002,0.009766,0.453179,1.699499,0.731934,1.590234,0.684876,0.016464,0.10448099999999999,0.014002,0.034497,0.026525,0.297511,0.134211,0.058348000000000004,0.022879,0.052263,0.018453,0.026097000000000002,0.00323,0.140017,0.006154,0.027464999999999996,0.017404,0.062915,0.030910000000000003,0.03172,0.024881,0.37063,0.189436,0.065839,0.053426999999999995,0.056313,0.017828,0.096101,mid
E05000120,302.039969,313.940133,108.379033,97.035363,9.284969,13.139866,3.5511160000000004,6.03102,11.58727,17.671146,5.498496,6.276257,20.713525,23.469757,1.737614,2.389693,0.19120299999999998,1.370559,83.564723,118.25879599999999,31.960041999999998,54.279176,46.34908,70.68458199999999,21.993982,25.105029000000002,82.854102,93.87902700000001,3.223474,4.755839,1.338418,9.593910000000001,0.049831,192.974699,174.65256399999998,0.43303500000000006,0.16561800000000002,0.240182,0.113973,0.42935200000000007,0.016704,0.006936,0.6389050000000001,1.622303,0.698688,1.552037,0.6684260000000001,0.013609999999999999,0.090018,0.006171,0.019042,0.016562,0.23773200000000003,0.18820699999999999,0.037478,0.016661000000000002,0.09043999999999999,0.012054,0.032293,0.001775,0.191624,0.0052840000000000005,0.025622000000000002,0.015428,0.05252999999999999,0.016916,0.024455,0.019719999999999998,0.328761,0.250162,0.052244000000000006,0.043717,0.068895,0.016298,0.1263,mid
E05000609,421.917574,534.59183,124.320872,106.927779,9.099585000000001,14.861455,3.627379,6.914845,9.956059,15.862707,5.344431,6.441145,18.504534,23.323377999999998,1.561906,2.307915,0.197829,1.577576,81.896262,133.75309099999998,32.646407,62.233608999999994,39.824236,63.45083,21.377723,25.764581,74.018135,93.293514,2.939622,4.50606,1.384801,11.04303,0.018050999999999998,181.616543,175.604517,0.45093,0.179755,0.21927600000000003,0.117708,0.407552,0.016186000000000002,0.007625,0.43045500000000003,1.6495830000000002,0.710437,1.559151,0.6714899999999999,0.010575,0.108866,0.013611000000000002,0.035470999999999996,0.022856,0.26809,0.148015,0.05470800000000001,0.020513999999999998,0.053085,0.015954,0.030001999999999997,0.002944,0.163142,0.005377000000000001,0.033662,0.013130000000000001,0.059787,0.029466000000000003,0.03242,0.020787,0.338619,0.23165300000000003,0.058228999999999996,0.050646,0.052385,0.015469,0.11053900000000001,mid
E05000138,364.539905,398.493786,102.66224100000001,84.335414,8.719803,14.175804999999999,3.406908,6.32757,9.794939999999999,15.975253,5.238155,6.487218,17.492386,22.714026,1.606184,2.445422,0.28081500000000004,1.770879,78.478225,127.58224399999999,30.662176000000002,56.948129,39.179758,63.901012,20.952621,25.948873000000003,69.969545,90.856103,3.034071,4.838947,1.965702,12.396151,0.042197000000000005,174.400164,173.097138,0.44998900000000003,0.175815,0.224654,0.12014100000000001,0.40120100000000003,0.017397,0.011271,0.478412,1.6826419999999997,0.724675,1.588948,0.6843229999999999,0.016572,0.10544500000000001,0.015335,0.026663,0.02574,0.289635,0.144367,0.040598,0.018713999999999998,0.057597,0.011942,0.029545,0.003675,0.15724000000000002,0.0062369999999999995,0.02976,0.020934,0.066941,0.036751,0.025102,0.023351,0.365521,0.212025,0.04543,0.044919,0.061235000000000005,0.013308,0.10541600000000001,low
